seed,function_name,condition,noise,optimizer,dropout,weight_decay,reg_state,model_size,auprc_full,val_loss,first_val_loss,last_val_loss,best_epoch,converged
45,f3,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,0.354558595402623,0.6395715335582165,0.7843923185099947,0.6446905443643002,98,True
45,f3,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.2529615004935834,0.6955534809447349,0.7874907369309283,0.7094764316335638,49,True
45,f3,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.3353076669957223,2.4415978091828365,2.5667818619849836,2.465127191645034,91,True
45,f3,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.2529615004935834,2.5581993460655212,2.6547981208943305,2.618934821575246,25,False
45,f3,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.3769743336623889,2.4458885015325342,2.559876269482552,2.4690537478061434,63,True
45,f3,ms_dpwd_n1p0,1.0,adam,0.2,True,dropout+weight_decay,small,0.003948667324777887,2.5196766193876874,2.655277343506509,2.5282587104655327,67,True
45,f4,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.6815508021390374,0.030118930064379535,0.10588455850139578,0.040869698879566596,74,True
45,f4,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.4029615004935834,0.13191866058301419,0.1879203422589505,0.17414759400677174,98,True
45,f4,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,0.7247619047619047,0.014758425764739513,0.10613775847757116,0.018694108461049644,92,True
45,f4,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.4029615004935834,0.08338825380865564,0.1815033493999471,0.11950343863127079,49,True
45,f4,ms_base_n0p5,0.5,adam,0.0,False,base,small,0.4029615004935834,0.6929145896054328,0.8590057523960762,0.7059523190589662,91,True
45,f4,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.4029615004935834,0.8162880907667444,0.8763989888607188,0.8266219198703766,77,True
45,f4,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,0.4648760557200834,0.6897355742911075,0.8615401070168678,0.6973250118341852,98,True
45,f4,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.4029615004935834,0.7733281774723784,0.8767040397258515,0.7812340462461431,98,True
45,f4,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.24296150049358342,2.6502320233811725,2.774553637555305,2.6728751862302738,91,True
45,f4,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.4029615004935834,2.7598531753458877,2.873884124958769,2.808868978885894,25,False
45,f4,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.26962816716025007,2.6322332265529225,2.7855101050214564,2.665821581444842,43,True
